Opponent_Team,Goals,Assists,Shots_On_Target,Fouls_Suffered,Win_or_Loss
SAMPSAMP,1,1,3,2,W
CAGCAG,0,0,2,0,L
SAMPSAMP,1,0,3,1,W
UDNUDN,0,0,2,0,L
LAZLAZ,2,0,4,3,W
MILMIL,1,0,1,2,L
TORTOR,1,1,2,1,W
GENGEN,1,0,4,1,W
LECLEC,1,1,2,3,W
BOLBOL,1,0,2,1,W
INTINT,0,1,1,7,W
SPALSPAL,1,0,4,2,W
VERVER,1,0,2,1,L
FIOFIO,2,0,2,0,W
NAPNAP,1,0,1,0,L
PARPAR,2,0,4,2,W
ROMAROMA,1,0,2,1,W
CAGCAG,3,1,4,2,W
SAMPSAMP,1,0,2,4,W
UDNUDN,2,0,3,1,W
LAZLAZ,1,0,2,1,L
MILMIL,0,0,1,1,W
TORTOR,0,0,3,3,W
GENGEN,1,0,4,2,W
BOLBOL,1,0,3,1,W
INTINT,0,0,2,3,W
SPALSPAL,1,0,5,1,W
VERVER,1,1,1,3,W
NAPNAP,1,0,2,3,W
PARPAR,0,0,2,1,W
ROMAROMA,0,0,0,1,L
FIOFIO,0,0,1,1,W
UDNUDN,0,0,0,0,W
NAPNAP,0,0,0,1,W
BOLBOL,0,0,2,2,W
FROFRO,1,1,2,2,W
SASSAS,1,1,2,3,W
LAZLAZ,1,0,1,4,W
CVOCVO,0,0,2,1,W
SAMPSAMP,2,0,4,1,W
ROMAROMA,0,0,3,1,W
TORTOR,1,0,3,1,W
INTINT,0,0,1,1,W
FIOFIO,1,0,2,3,W
SPALSPAL,1,0,2,3,W
MILMIL,1,0,3,2,W
CAGCAG,0,1,0,1,W
EMPEMP,2,0,3,2,W
UDNUDN,1,0,3,1,W
NAPNAP,0,2,5,2,W
BOLBOL,0,1,1,1,W
FROFRO,1,0,5,2,W
SASSAS,2,0,3,1,W
PARPAR,0,0,1,1,W
LAZLAZ,0,1,4,3,W
CVOCVO,0,0,4,2,W
